EP_PlotID	Grazing	Mowing	Fertilization	Plant	Plant_SLA	Plant_N	Plant_P	Lichen	Moss	Arth_Herb	Arth_Omni	Arth_Pollin	Arth_Carniv	Arth_Decom	Below_Pred	Below_Decom	Fungi_Decom	Fungi_Pathog	Fungi_Symb	Fungi_Other	Protist_Bact	Protist_Euka	Protist_Omni	Protist_Paras	Bacteria	Soil_C	Soil_OrgC	Soil_N	Soil_P	Plant_Aerial_Biom	Plant_Root_Biom	Water_Recharge	Pot_Nitrification	Retention_N	Retention_P	Litter_Decomp	Root_Decomp	Dung_Removal	Seed_Removal	Herbivory_Rate	Mycorrhization_Rate	Parasitoid_Rate	Pollination_Rate	Pathogen_Rate	C_Flux	Nitrate_Flux	Ammonia_Flux
AEG01	0	1.95	2.288333333	29.54545455	3.292088623	2.2165	0.269666667	1	1	19.8	0	1.2	4.5	0.3	7	1	59	9	5.333333333	73.33333333	440	93.5	241	75	5643.5	4.357545449	84.98	160.5653598	40.71254461	339.4444444	2.486	600.4392579	1112.839828	1690.1	135.228005	0.737887556	18.03333333	0.199409372	0.848	0.021452977	14.35643325	9	132	NA	1.472586692	-0.785689076	-0.21166742
AEG02	0	2.7325	8.0275	18.3	3.314199242	2.587333333	0.298833333	0	2	18.3	0	0.4	3.6	0.2	5	1	66	18	4.333333333	96	378.5	72	207	59.5	4918	3.889616627	71.04	146.2443662	37.08463481	276.2166667	2.172	599.8446355	1411.059768	0	94.66005638	0.685803915	32.26666667	-0.166985482	1	0.004011736	NA	19	662	0.010795	1.001299594	-0.834064314	0.118609763
AEG03	0.056666667	1.863333333	1.183333333	29.36363636	3.222451471	2.247666667	0.228166667	0	1	24.6	0.1	1.4	4.8	0	7	1	48	7.666666667	2.666666667	61.66666667	442.5	79.5	225	67.5	4949.5	4.525396648	59.53	112.3608415	52.84344988	148.7333333	1.126	791.5129282	176.3077964	1988.4	188.4138689	0.625442945	14.63333333	-0.058110281	0.824	0.019754125	NA	2	510	0.018920625	-0.35295413	-0.252197778	-0.597184267
AEG04	0.771666667	0.9375	1.549166667	20.63636364	3.320667955	2.110333333	0.276166667	0	1	20.33333333	0.222222222	0.555555556	5.444444444	0.222222222	4	0	53	8.666666667	3	70.33333333	478.5	114	239.5	73.5	4386	4.019096588	44.31	70.23285973	50.72099646	305.3777778	0.512	574.1176049	8.663106998	1915.466667	169.6272679	0.638966975	30.43333333	-0.247067249	0.504	0.003355838	NA	24	NA	0	-0.915986156	0.181295366	-0.831037767
AEG05	0.7575	0.86	1.8475	21.72727273	3.313323607	2.595	0.280166667	0	1	19.9	0.1	0.5	4.8	0.2	8	2	67.33333333	11.33333333	3.333333333	74	491	100.5	249.5	79	5698	5.112406968	90.19	162.8279109	56.29511192	260.5888889	2.106	523.8838427	794.7525942	1917.6	164.8657316	0.695219605	30.93333333	0.89336555	0.856	0.010277071	28.7128665	31	534	0.0003255	0.729259017	-0.541029903	-0.032763339
AEG06	2.1175	0.9375	1.475	30.09090909	3.289395486	2.199	0.244833333	0	2	21.33333333	0.111111111	1.111111111	3.666666667	0.333333333	6	0	61.33333333	10.66666667	4.333333333	80.66666667	456	97.5	233	71	5486	5.460047238	82.74	147.2675727	54.21089073	293.6111111	1.86	547.4309575	630.8925133	1224.3	172.0309445	0.64688513	24.93333333	0.266107999	0.06	0.004881617	18.1709445	50	315	NA	0.369422766	-0.312734751	0.186568944
AEG07	0.273333333	0	0	44	2.978347816	1.9045	0.149333333	16	13	18.5	0	1	4.1	0.2	3	0	28	1.333333333	3.333333333	46.33333333	336.5	61	202.5	42.5	3992.5	4.131555323	52.8	85.01795209	31.70535055	43.39444444	1.46	477.6953717	65.78749775	1960.9	190.190036	0.448045437	22.7	0.092194188	1	0.017131289	NA	51	236	0.0003035	-1.008271105	-0.013979624	-0.629260454
AEG08	0.701666667	0.9375	0	41.81818182	3.012397297	1.8995	0.188	4	7	16	0	0.4	2.6	0.1	8	1	53.33333333	4.333333333	1.666666667	73	490.5	95.5	264.5	57	5113	4.948870395	86.14	140.7886624	51.62601858	153.85	3.212	762.4741445	248.0425563	1930.933333	169.2690026	0.576700377	19.66666667	1.167305956	1	0.002043385	25.522548	8	142	0.002094	0.66902493	-0.189030118	-0.534394536
AEG09	0.541666667	0	0	47.90909091	2.955746833	1.907333333	0.137	8	11	23.1	0	1	3.8	0	5	2	58	4.666666667	6.333333333	71.33333333	471	79	267	51	4890.5	4.240672558	70.27	100.2775284	40.18164764	107.4388889	2.62	620.8762302	34.53906988	1978.633333	188.9170192	0.449654892	22.93333333	0.239889	1	0.008247005	19.8354585	86	221	9.15E-06	-0.472460534	0.010773989	-0.774507295
AEG10	0.0275	1.025	0	42.54545455	3.034031374	1.955333333	0.1565	0	5	20.5	0	0.9	4.9	0.2	5	3	51.33333333	5.333333333	3.666666667	80.66666667	513.5	97	275	63.5	5205	4.794850833	93.71	164.1716693	52.42011058	238.4722222	6.242	616.9501513	568.977086	1937.933333	181.9915922	0.583711507	21.9	0.009964055	0.104	0.005246274	17.26933275	7	310	0.00215505	0.364720742	-0.142277443	-0.642586664
